Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Barcelos,0.1601,1.0582,0.8112,20.5104,1.0287,17.4697,0.838,2.32
Ridge,Barcelos,0.2001,0.9714,0.7768,19.8526,0.9856,17.0067,0.8266,0.06
Ridge,Barcelos,0.1616,1.1174,0.8609,21.1167,1.0571,18.5981,0.9332,0.06
Ridge,Barcelos,0.1046,1.2063,0.8519,24.3495,1.0983,19.6456,0.9219,0.06
Ridge,Barcelos,0.058,1.3655,0.9333,26.4611,1.1686,21.3422,0.9874,0.06
SVR,Barcelos,0.1514,1.0692,0.8199,20.6877,1.034,17.7267,0.847,0.09
SVR,Barcelos,0.1864,0.988,0.7592,20.1269,0.994,16.6627,0.8079,0.16
SVR,Barcelos,0.1872,1.0833,0.8244,20.9903,1.0408,17.8984,0.8937,0.29
SVR,Barcelos,0.1004,1.212,0.8343,24.5501,1.1009,19.261,0.9029,0.42
SVR,Barcelos,0.0733,1.3433,0.9232,26.3864,1.159,21.1352,0.9767,0.63
Random Forest,Barcelos,0.1681,1.0482,0.8224,20.0299,1.0238,17.8144,0.8495,2.57
Random Forest,Barcelos,0.1919,0.9813,0.7628,19.5867,0.9906,16.7498,0.8117,4.16
Random Forest,Barcelos,0.174,1.1009,0.8476,20.5803,1.0492,18.3929,0.9189,5.17
Random Forest,Barcelos,0.1126,1.1956,0.8417,23.8169,1.0934,19.495,0.9109,6.52
Random Forest,Barcelos,0.0382,1.3942,0.9724,26.173,1.1807,22.2844,1.0287,7.63
XGBoost,Barcelos,-0.1253,1.4179,0.9715,22.4474,1.1908,21.0167,1.0036,1.5
XGBoost,Barcelos,0.2016,0.9695,0.7643,19.6518,0.9846,16.7831,0.8133,1.32
XGBoost,Barcelos,0.1859,1.0851,0.8425,20.5489,1.0417,18.2934,0.9133,1.69
XGBoost,Barcelos,0.1222,1.1826,0.8395,23.773,1.0875,19.435,0.9085,1.83
XGBoost,Barcelos,0.0552,1.3695,0.9602,25.9697,1.1702,21.9968,1.0158,2.02
