Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Benjamin Constant,0.0497,1.0178,0.8155,20.2737,1.0089,18.33,0.7433,0.07
Ridge,Benjamin Constant,0.0736,1.0995,0.8423,21.2837,1.0486,18.8969,0.8039,0.06
Ridge,Benjamin Constant,0.0474,1.0744,0.8174,22.4582,1.0365,19.0394,0.7777,0.06
Ridge,Benjamin Constant,0.0406,1.2136,0.8757,24.0559,1.1016,20.4268,0.8382,0.06
Ridge,Benjamin Constant,0.0319,1.4431,0.9953,27.8818,1.2013,22.8083,0.9384,0.06
SVR,Benjamin Constant,0.0347,1.0339,0.8141,20.8068,1.0168,18.2856,0.742,0.09
SVR,Benjamin Constant,0.0868,1.0839,0.8268,21.3422,1.0411,18.5868,0.789,0.16
SVR,Benjamin Constant,0.0443,1.0779,0.8119,22.6249,1.0382,18.9136,0.7725,0.27
SVR,Benjamin Constant,0.0478,1.2044,0.8636,24.1685,1.0975,20.1564,0.8266,0.43
SVR,Benjamin Constant,0.0457,1.4226,0.9761,27.6998,1.1927,22.3899,0.9204,0.64
Random Forest,Benjamin Constant,0.0386,1.0297,0.824,19.9819,1.0147,18.5562,0.7511,2.7
Random Forest,Benjamin Constant,0.0285,1.1531,0.863,21.7953,1.0738,19.3802,0.8236,3.84
Random Forest,Benjamin Constant,0.0443,1.078,0.8168,22.3881,1.0383,19.0365,0.7771,5.06
Random Forest,Benjamin Constant,0.036,1.2194,0.8793,23.9446,1.1043,20.5073,0.8415,6.23
Random Forest,Benjamin Constant,0.0353,1.4381,0.9833,27.2002,1.1992,22.5814,0.9272,7.43
XGBoost,Benjamin Constant,-0.0076,1.0792,0.8344,20.265,1.0388,18.7733,0.7605,0.83
XGBoost,Benjamin Constant,0.0416,1.1376,0.8565,21.6154,1.0666,19.2362,0.8174,1.26
XGBoost,Benjamin Constant,0.057,1.0636,0.811,22.2365,1.0313,18.9226,0.7716,1.53
XGBoost,Benjamin Constant,0.0576,1.192,0.869,23.7669,1.0918,20.2963,0.8317,1.78
XGBoost,Benjamin Constant,0.0425,1.4273,0.9839,27.2034,1.1947,22.5972,0.9277,2.05
