Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Coari,-0.0307,1.2664,0.8597,23.2588,1.1254,18.9846,0.8565,2.33
Ridge,Coari,0.0489,1.0627,0.8382,20.473,1.0309,18.2256,0.8147,0.06
Ridge,Coari,0.0576,0.9565,0.7761,19.4973,0.978,17.0055,0.7425,0.06
Ridge,Coari,0.0102,1.2059,0.8719,23.865,1.0981,19.825,0.8476,0.06
Ridge,Coari,0.03,1.3949,0.9337,27.8074,1.1811,21.2209,0.8806,0.06
SVR,Coari,-0.2069,1.483,0.9084,25.1635,1.2178,19.6805,0.905,0.09
SVR,Coari,0.0428,1.0696,0.82,20.7731,1.0342,17.8426,0.797,0.16
SVR,Coari,0.035,0.9796,0.7673,19.9399,0.9897,16.8183,0.7341,0.28
SVR,Coari,-0.0484,1.2772,0.8793,24.8079,1.1301,19.9352,0.8548,0.44
SVR,Coari,0.0322,1.3917,0.9011,28.0022,1.1797,20.5074,0.8499,0.65
Random Forest,Coari,0.04,1.1796,0.8533,22.5358,1.0861,19.0804,0.8501,2.76
Random Forest,Coari,0.02,1.095,0.8377,20.4713,1.0464,18.2951,0.8142,4.01
Random Forest,Coari,0.099,0.9146,0.7479,18.6919,0.9563,16.4453,0.7155,5.23
Random Forest,Coari,0.0341,1.1767,0.8484,23.3608,1.0848,19.3372,0.8248,6.5
Random Forest,Coari,-0.0033,1.4427,0.9608,27.9417,1.2011,21.855,0.9062,7.77
XGBoost,Coari,0.0454,1.173,0.8521,22.5565,1.083,19.068,0.8488,1.41
XGBoost,Coari,0.053,1.0581,0.8238,20.2142,1.0287,17.9891,0.8007,1.29
XGBoost,Coari,0.104,0.9095,0.7452,18.6986,0.9537,16.3975,0.713,1.54
XGBoost,Coari,0.0378,1.1723,0.8482,23.3507,1.0827,19.3401,0.8245,1.88
XGBoost,Coari,0.0119,1.4209,0.9526,27.7636,1.192,21.6699,0.8985,2.12
