Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Codajas,-0.2168,1.5472,0.9414,25.7119,1.2439,20.4828,0.933,2.3
Ridge,Codajas,0.0683,1.1749,0.8677,23.2689,1.0839,19.4403,0.854,0.06
Ridge,Codajas,0.0959,0.9862,0.7853,19.9354,0.9931,17.3317,0.7591,0.06
Ridge,Codajas,0.0164,1.2371,0.8656,25.0927,1.1122,20.1077,0.8498,0.06
Ridge,Codajas,0.0254,1.5034,0.9931,29.0198,1.2261,22.8423,0.952,0.06
SVR,Codajas,-0.2744,1.6205,0.9578,26.5053,1.273,20.705,0.9493,0.15
SVR,Codajas,0.0504,1.1975,0.8389,23.6191,1.0943,18.8332,0.8257,0.16
SVR,Codajas,0.0717,1.0126,0.7727,20.5202,1.0063,17.0652,0.7468,0.28
SVR,Codajas,-0.0366,1.3036,0.8688,26.0372,1.1418,20.1286,0.8529,0.44
SVR,Codajas,0.0298,1.4966,0.9542,29.1913,1.2234,21.9858,0.9148,0.64
Random Forest,Codajas,0.0348,1.2273,0.8514,23.2419,1.1078,19.3011,0.8439,2.81
Random Forest,Codajas,0.044,1.2056,0.8552,23.2923,1.098,19.2058,0.8417,3.99
Random Forest,Codajas,0.1045,0.9768,0.7812,19.6854,0.9883,17.2992,0.7551,5.16
Random Forest,Codajas,0.0534,1.1905,0.8499,24.2649,1.0911,19.8427,0.8344,6.38
Random Forest,Codajas,0.0128,1.5229,1.0111,28.9219,1.234,23.3051,0.9693,7.67
XGBoost,Codajas,0.039,1.2219,0.87,23.4629,1.1054,19.6423,0.8623,1.43
XGBoost,Codajas,0.0645,1.1796,0.8474,23.1145,1.0861,19.0515,0.834,1.25
XGBoost,Codajas,0.1157,0.9646,0.7739,19.5545,0.9821,17.1382,0.748,1.56
XGBoost,Codajas,0.0642,1.1769,0.8446,24.1891,1.0849,19.7015,0.8291,1.84
XGBoost,Codajas,0.0164,1.5173,1.0127,28.871,1.2318,23.3288,0.9708,2.08
