Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Eirunepe,0.0762,0.9248,0.7636,19.425,0.9617,17.2251,0.7583,0.07
Ridge,Eirunepe,0.0827,1.0651,0.818,21.4908,1.032,18.6306,0.8417,0.06
Ridge,Eirunepe,0.0898,1.032,0.7956,21.469,1.0159,18.4173,0.8125,0.06
Ridge,Eirunepe,0.0732,1.156,0.8354,24.288,1.0752,19.7409,0.8458,0.06
Ridge,Eirunepe,0.0485,1.3687,0.9416,27.6764,1.1699,21.3406,0.9366,0.06
SVR,Eirunepe,0.0844,0.9166,0.7463,19.5123,0.9574,16.8413,0.7412,0.09
SVR,Eirunepe,0.1036,1.0408,0.7941,21.4518,1.0202,18.1628,0.8171,0.16
SVR,Eirunepe,0.0996,1.0209,0.772,21.3552,1.0104,17.9229,0.7885,0.29
SVR,Eirunepe,0.0744,1.1545,0.8156,24.4255,1.0745,19.2959,0.8258,0.46
SVR,Eirunepe,0.0652,1.3446,0.9254,27.4073,1.1596,21.0108,0.9204,0.61
Random Forest,Eirunepe,0.0689,0.9322,0.7563,19.3191,0.9655,17.0931,0.7511,2.7
Random Forest,Eirunepe,0.0791,1.0693,0.8194,21.3348,1.0341,18.7309,0.8432,3.91
Random Forest,Eirunepe,0.1232,0.9941,0.7746,20.8536,0.9971,17.9889,0.7911,5.18
Random Forest,Eirunepe,0.1036,1.1181,0.8204,23.8675,1.0574,19.4302,0.8306,6.4
Random Forest,Eirunepe,-0.0247,1.4739,0.9793,27.8684,1.214,22.2335,0.9741,7.57
XGBoost,Eirunepe,0.057,0.9441,0.7627,19.4651,0.9716,17.2567,0.7575,0.88
XGBoost,Eirunepe,0.0869,1.0602,0.8127,21.2701,1.0297,18.5911,0.8363,1.23
XGBoost,Eirunepe,0.1258,0.9912,0.7766,20.8888,0.9956,18.0424,0.7932,1.5
XGBoost,Eirunepe,0.1002,1.1223,0.8173,23.8696,1.0594,19.3647,0.8274,1.79
XGBoost,Eirunepe,-0.0069,1.4483,0.974,27.694,1.2035,22.1235,0.9688,2.04
