Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Iaurete,0.0034,1.2618,0.9104,24.7655,1.1233,21.376,0.7568,0.07
Ridge,Iaurete,0.0075,1.2354,0.8951,24.2165,1.1115,20.8772,0.7496,0.06
Ridge,Iaurete,0.0288,1.1893,0.8704,24.141,1.0905,20.5156,0.7367,0.06
Ridge,Iaurete,0.0009,1.1855,0.8674,24.2137,1.0888,20.5653,0.7425,0.06
Ridge,Iaurete,0.0056,1.6631,1.0439,32.4455,1.2896,24.9138,0.8952,0.06
SVR,Iaurete,0.0147,1.2475,0.8901,25.0017,1.1169,20.9027,0.7399,0.09
SVR,Iaurete,0.011,1.231,0.8795,24.6193,1.1095,20.5035,0.7366,0.18
SVR,Iaurete,0.0386,1.1773,0.8622,24.4173,1.085,20.3321,0.7298,0.29
SVR,Iaurete,-0.0002,1.1868,0.8665,24.574,1.0894,20.5309,0.7417,0.42
SVR,Iaurete,0.0268,1.6276,1.0207,32.2848,1.2758,24.4115,0.8753,0.65
Random Forest,Iaurete,-0.0797,1.3671,0.9467,25.8508,1.1692,22.2181,0.787,2.81
Random Forest,Iaurete,0.0161,1.2247,0.8889,24.0606,1.1066,20.7629,0.7444,3.93
Random Forest,Iaurete,0.02,1.2001,0.8749,24.1433,1.0955,20.6245,0.7406,5.16
Random Forest,Iaurete,0.0025,1.1837,0.8706,24.1736,1.088,20.6526,0.7452,6.28
Random Forest,Iaurete,0.0124,1.6518,1.0373,31.974,1.2852,24.8375,0.8896,7.55
XGBoost,Iaurete,-0.0853,1.3741,0.9425,25.8497,1.1722,22.1033,0.7835,0.87
XGBoost,Iaurete,0.0037,1.2401,0.8979,24.2412,1.1136,20.9606,0.752,1.25
XGBoost,Iaurete,0.0412,1.1741,0.8676,23.9772,1.0836,20.4689,0.7344,1.48
XGBoost,Iaurete,0.0056,1.18,0.8688,24.1329,1.0863,20.6076,0.7437,1.81
XGBoost,Iaurete,0.0223,1.6351,1.0335,31.9492,1.2787,24.7507,0.8864,2.07
