Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Labrea,0.0679,1.1258,0.8232,22.3951,1.061,18.396,0.8766,0.07
Ridge,Labrea,0.126,0.9982,0.7832,20.5452,0.9991,17.4582,0.7922,0.06
Ridge,Labrea,0.1498,0.8095,0.6859,17.5994,0.8997,15.1479,0.705,0.06
Ridge,Labrea,0.0503,1.0947,0.8044,22.5262,1.0463,18.5057,0.8491,0.06
Ridge,Labrea,0.06,1.2854,0.8711,26.5205,1.1338,19.7348,0.9002,0.06
SVR,Labrea,0.0395,1.1601,0.8284,22.9655,1.0771,18.3772,0.8821,0.09
SVR,Labrea,0.1453,0.9762,0.7413,20.2256,0.988,16.606,0.7499,0.15
SVR,Labrea,0.1393,0.8195,0.6759,17.7829,0.9053,14.9391,0.6947,0.27
SVR,Labrea,0.0384,1.1084,0.7942,22.8797,1.0528,18.2577,0.8384,0.42
SVR,Labrea,0.0662,1.2769,0.8496,26.6835,1.13,19.229,0.8779,0.6
Random Forest,Labrea,0.0788,1.1126,0.8286,22.2787,1.0548,18.6341,0.8824,2.43
Random Forest,Labrea,0.1274,0.9966,0.7651,20.2145,0.9983,17.174,0.7739,3.4
Random Forest,Labrea,0.1545,0.8051,0.6874,17.3448,0.8972,15.2316,0.7065,5.24
Random Forest,Labrea,0.0597,1.0839,0.7946,22.1157,1.0411,18.3151,0.8388,6.5
Random Forest,Labrea,0.0055,1.3599,0.9072,26.6839,1.1662,20.5579,0.9375,8.11
XGBoost,Labrea,0.0421,1.1569,0.8595,22.4021,1.0756,19.2539,0.9152,0.84
XGBoost,Labrea,0.1406,0.9816,0.7581,20.1131,0.9908,17.0059,0.7669,1.22
XGBoost,Labrea,0.1647,0.7953,0.6819,17.2765,0.8918,15.1184,0.7009,1.53
XGBoost,Labrea,0.0673,1.0751,0.7912,22.1399,1.0369,18.2509,0.8352,1.82
XGBoost,Labrea,0.0325,1.3229,0.8957,26.4464,1.1502,20.2984,0.9257,2.12
