Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Manaus,0.0018,1.5345,0.9293,29.7429,1.2387,21.6111,0.8889,0.07
Ridge,Manaus,0.1258,1.2279,0.8936,24.9952,1.1081,20.636,0.8358,0.06
Ridge,Manaus,0.0755,1.1884,0.891,22.3918,1.0901,19.9045,0.8192,0.06
Ridge,Manaus,0.0157,1.2767,0.9073,24.5518,1.1299,20.9971,0.8544,0.06
Ridge,Manaus,0.0122,1.7457,1.0742,34.541,1.3212,25.273,0.9908,0.06
SVR,Manaus,-0.0237,1.5737,0.923,30.3328,1.2545,21.4866,0.8829,0.09
SVR,Manaus,0.1247,1.2295,0.8651,25.2893,1.1088,20.0268,0.8092,0.16
SVR,Manaus,0.1259,1.1236,0.8429,22.15,1.06,18.9125,0.7749,0.26
SVR,Manaus,0.0405,1.2446,0.8779,24.6695,1.1156,20.347,0.8268,0.44
SVR,Manaus,0.0349,1.7057,1.0474,34.4252,1.306,24.695,0.9662,0.63
Random Forest,Manaus,-0.0421,1.602,0.9491,29.8644,1.2657,22.0843,0.9079,2.67
Random Forest,Manaus,0.1057,1.2561,0.8929,25.0404,1.1208,20.7021,0.8352,4.04
Random Forest,Manaus,0.0785,1.1845,0.8775,21.9294,1.0883,19.7302,0.8068,5.28
Random Forest,Manaus,-0.001,1.2983,0.9183,24.5324,1.1394,21.2999,0.8648,6.63
Random Forest,Manaus,-0.0214,1.8051,1.097,34.242,1.3436,25.8775,1.0119,7.87
XGBoost,Manaus,-0.0319,1.5862,0.9421,29.7589,1.2595,21.9418,0.9011,0.91
XGBoost,Manaus,0.1158,1.242,0.8891,25.0115,1.1145,20.6167,0.8316,1.3
XGBoost,Manaus,0.0908,1.1686,0.877,21.9455,1.081,19.7012,0.8063,1.6
XGBoost,Manaus,0.0448,1.239,0.8946,24.0721,1.1131,20.7603,0.8424,1.93
XGBoost,Manaus,-0.0028,1.7723,1.0923,34.1721,1.3313,25.7554,1.0075,2.26
