Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Manicore,0.0261,1.0892,0.8066,20.4895,1.0437,17.5744,0.8138,0.07
Ridge,Manicore,0.1036,1.0452,0.7994,20.8083,1.0223,17.7139,0.8327,0.06
Ridge,Manicore,0.0857,0.9885,0.7727,19.9471,0.9942,16.9165,0.7907,0.06
Ridge,Manicore,0.0277,1.0529,0.8057,21.0686,1.0261,18.1096,0.836,0.14
Ridge,Manicore,0.0299,1.3678,0.9083,27.7308,1.1695,20.8022,0.925,0.06
SVR,Manicore,-0.0279,1.1496,0.813,21.2316,1.0722,17.6624,0.8202,0.09
SVR,Manicore,0.0869,1.0647,0.7808,21.1229,1.0318,17.3175,0.8134,0.15
SVR,Manicore,0.083,0.9914,0.7533,20.0284,0.9957,16.5135,0.7709,0.25
SVR,Manicore,-0.0119,1.0958,0.7958,21.6036,1.0468,17.8699,0.8257,0.41
SVR,Manicore,0.0455,1.3458,0.8813,27.5784,1.1601,20.2328,0.8975,0.6
Random Forest,Manicore,0.0308,1.084,0.8063,20.4282,1.0412,17.66,0.8135,2.68
Random Forest,Manicore,0.1212,1.0248,0.7846,20.5692,1.0123,17.467,0.8174,3.9
Random Forest,Manicore,0.1047,0.9679,0.7409,19.3562,0.9838,16.3016,0.7582,5.19
Random Forest,Manicore,0.0655,1.012,0.7937,20.5619,1.006,17.9126,0.8235,6.38
Random Forest,Manicore,0.0449,1.3467,0.9201,27.1677,1.1605,21.1337,0.9371,7.62
XGBoost,Manicore,0.0082,1.1092,0.825,20.2818,1.0532,18.1373,0.8324,0.84
XGBoost,Manicore,0.1326,1.0114,0.7817,20.4883,1.0057,17.393,0.8143,1.22
XGBoost,Manicore,0.1102,0.962,0.7426,19.381,0.9808,16.3357,0.7599,1.51
XGBoost,Manicore,0.0759,1.0007,0.79,20.5337,1.0003,17.828,0.8197,1.81
XGBoost,Manicore,0.0572,1.3293,0.913,27.0982,1.153,20.9746,0.9298,2.04
