Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Parintins,-0.179,1.4886,0.9146,24.3191,1.2201,18.8707,0.9599,0.07
Ridge,Parintins,0.2698,0.8724,0.7298,18.1481,0.934,15.8514,0.8026,0.06
Ridge,Parintins,0.2962,0.9567,0.756,19.8916,0.9781,16.8499,0.8467,0.06
Ridge,Parintins,0.2148,1.0248,0.791,21.3191,1.0123,17.8506,0.886,0.06
Ridge,Parintins,0.0922,1.4635,0.9852,29.1662,1.2098,22.3932,1.0908,0.06
SVR,Parintins,0.1499,1.0733,0.767,21.3575,1.036,16.7925,0.805,0.09
SVR,Parintins,0.2671,0.8755,0.6909,18.0535,0.9357,15.1033,0.7599,0.15
SVR,Parintins,0.3174,0.928,0.7076,19.5338,0.9633,15.9325,0.7924,0.27
SVR,Parintins,0.222,1.0153,0.7637,21.3277,1.0076,17.3245,0.8555,0.41
SVR,Parintins,0.1378,1.39,0.9403,28.4595,1.179,21.4717,1.0411,0.61
Random Forest,Parintins,0.2251,0.9784,0.7247,20.1266,0.9891,16.1505,0.7607,2.39
Random Forest,Parintins,0.2259,0.9248,0.7326,18.4774,0.9617,15.9524,0.8058,3.98
Random Forest,Parintins,0.3215,0.9224,0.7345,19.3685,0.9604,16.5123,0.8226,5.35
Random Forest,Parintins,0.2176,1.021,0.7841,21.0695,1.0104,17.779,0.8783,6.65
Random Forest,Parintins,0.0976,1.4549,0.9871,28.1335,1.2062,22.5149,1.0929,7.92
XGBoost,Parintins,0.1949,1.0165,0.7506,20.6113,1.0082,16.6331,0.7878,0.9
XGBoost,Parintins,0.2228,0.9285,0.726,18.3945,0.9636,15.8542,0.7985,1.33
XGBoost,Parintins,0.3337,0.9058,0.7262,19.1754,0.9517,16.3295,0.8133,1.66
XGBoost,Parintins,0.2221,1.0152,0.7838,21.0669,1.0076,17.7834,0.878,2.02
XGBoost,Parintins,0.0851,1.4749,1.0011,28.5629,1.2145,22.8222,1.1084,1.99
