Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,S.G.Cachoeira,0.0257,1.1708,0.8599,23.2052,1.082,19.6509,0.7733,0.07
Ridge,S.G.Cachoeira,0.0299,1.2134,0.901,23.8001,1.1015,20.58,0.8066,0.06
Ridge,S.G.Cachoeira,0.0354,1.2762,0.8986,25.5624,1.1297,20.9151,0.7964,0.06
Ridge,S.G.Cachoeira,0.0233,1.1867,0.8672,24.2323,1.0894,20.1741,0.7659,0.06
Ridge,S.G.Cachoeira,0.0087,1.5935,1.0088,34.3397,1.2623,24.2927,0.8841,0.06
SVR,S.G.Cachoeira,-0.0002,1.202,0.8587,23.8069,1.0963,19.5964,0.7722,0.09
SVR,S.G.Cachoeira,0.0421,1.1982,0.8854,23.9933,1.0946,20.235,0.7927,0.16
SVR,S.G.Cachoeira,0.0446,1.2639,0.8824,25.7921,1.1243,20.5616,0.782,0.28
SVR,S.G.Cachoeira,0.0359,1.1715,0.8448,24.3505,1.0823,19.6778,0.7462,0.46
SVR,S.G.Cachoeira,0.0102,1.591,0.9983,34.5371,1.2613,24.047,0.8749,0.64
Random Forest,S.G.Cachoeira,-0.0049,1.2076,0.877,23.1461,1.0989,20.0736,0.7887,2.64
Random Forest,S.G.Cachoeira,0.013,1.2346,0.8998,23.8615,1.1111,20.5678,0.8056,3.87
Random Forest,S.G.Cachoeira,0.0317,1.2811,0.9035,25.7445,1.1319,21.0535,0.8007,5.11
Random Forest,S.G.Cachoeira,0.0347,1.1729,0.8569,23.7329,1.083,19.9701,0.7568,6.3
Random Forest,S.G.Cachoeira,-0.014,1.6299,1.0304,34.6069,1.2767,24.7938,0.9031,7.45
XGBoost,S.G.Cachoeira,-0.0374,1.2466,0.89,23.6978,1.1165,20.3244,0.8004,0.81
XGBoost,S.G.Cachoeira,0.0205,1.2252,0.8996,23.9105,1.1069,20.5616,0.8053,1.25
XGBoost,S.G.Cachoeira,0.0614,1.2417,0.8849,25.29,1.1143,20.6545,0.7842,1.48
XGBoost,S.G.Cachoeira,0.0564,1.1466,0.8453,23.4996,1.0708,19.7198,0.7466,1.76
XGBoost,S.G.Cachoeira,0.0055,1.5986,1.02,34.3874,1.2644,24.5686,0.894,2.04
