Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Tefe,0.0244,1.2776,0.8744,24.7108,1.1303,19.5539,0.8167,0.07
Ridge,Tefe,0.05,0.9678,0.7978,19.7486,0.9838,17.5472,0.7299,0.06
Ridge,Tefe,0.0387,1.0579,0.8114,21.0814,1.0286,18.1119,0.7714,0.06
Ridge,Tefe,0.0303,1.2932,0.8897,25.6431,1.1372,20.5933,0.8513,0.06
Ridge,Tefe,0.026,1.4858,0.98,29.225,1.2189,22.562,0.9104,0.06
SVR,Tefe,-0.0013,1.3113,0.8756,25.381,1.1451,19.5608,0.8179,0.09
SVR,Tefe,0.0329,0.9851,0.7825,20.0072,0.9925,17.2321,0.7159,0.16
SVR,Tefe,0.0281,1.0696,0.7939,21.2614,1.0342,17.7289,0.7547,0.27
SVR,Tefe,0.0236,1.302,0.8716,25.9109,1.1411,20.1874,0.834,0.42
SVR,Tefe,0.0387,1.4665,0.9537,29.2528,1.211,21.9904,0.8859,0.61
Random Forest,Tefe,0.032,1.2677,0.8898,24.1385,1.1259,19.9787,0.8312,2.63
Random Forest,Tefe,0.0238,0.9944,0.7988,19.7063,0.9972,17.5912,0.7308,3.87
Random Forest,Tefe,0.0348,1.0622,0.8108,20.9309,1.0306,18.1486,0.7708,5.0
Random Forest,Tefe,0.0595,1.2542,0.8804,25.2109,1.1199,20.4363,0.8424,6.22
Random Forest,Tefe,0.0366,1.4696,0.9668,28.7507,1.2123,22.318,0.8981,7.37
XGBoost,Tefe,0.0557,1.2366,0.881,23.4843,1.112,19.819,0.8229,0.83
XGBoost,Tefe,0.0216,0.9967,0.7951,19.7537,0.9983,17.5092,0.7274,1.22
XGBoost,Tefe,0.0454,1.0505,0.8035,20.8589,1.025,18.0055,0.7638,1.51
XGBoost,Tefe,0.0673,1.2438,0.8742,25.1353,1.1152,20.2921,0.8365,1.8
XGBoost,Tefe,0.0457,1.4557,0.9659,28.779,1.2065,22.2974,0.8973,2.06
