Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Barcelos,-0.1022,1.3232,0.9382,21.5611,1.1503,20.3977,0.9621,0.08
Ridge,Barcelos,0.175,1.0269,0.7847,20.8566,1.0134,17.1812,0.8353,0.12
Ridge,Barcelos,0.2112,1.0382,0.8133,20.1135,1.0189,17.614,0.8803,0.21
Ridge,Barcelos,0.1507,1.1405,0.8281,23.6298,1.0679,19.1247,0.8966,0.23
Ridge,Barcelos,0.0971,1.3167,0.9009,26.2875,1.1475,20.6983,0.9508,0.23
SVR,Barcelos,0.0738,1.1118,0.828,20.3806,1.0544,17.9345,0.849,0.64
SVR,Barcelos,0.1478,1.0608,0.7827,21.1445,1.0299,17.1389,0.8332,1.2
SVR,Barcelos,0.2226,1.0231,0.7784,19.9913,1.0115,16.9931,0.8425,2.35
SVR,Barcelos,0.1298,1.1685,0.8228,23.7984,1.081,19.043,0.8909,3.47
SVR,Barcelos,0.0019,1.4555,0.9145,27.7267,1.2064,20.8727,0.9652,5.18
Random Forest,Barcelos,0.0707,1.1157,0.8789,20.101,1.0563,18.9084,0.9012,15.48
Random Forest,Barcelos,0.1997,0.9962,0.7788,20.3474,0.9981,17.0843,0.829,31.92
Random Forest,Barcelos,0.2324,1.0102,0.7997,19.8146,1.0051,17.4441,0.8656,69.26
Random Forest,Barcelos,0.1977,1.0773,0.8028,22.7229,1.0379,18.6845,0.8693,99.2
Random Forest,Barcelos,0.1246,1.2766,0.917,25.6222,1.1299,21.1051,0.9678,119.2
XGBoost,Barcelos,-0.3665,1.6405,1.0663,22.9594,1.2808,23.1536,1.0935,10.54
XGBoost,Barcelos,0.197,0.9995,0.777,20.3296,0.9997,17.0639,0.8271,20.9
XGBoost,Barcelos,0.2058,1.0453,0.8176,20.0223,1.0224,17.7273,0.885,27.76
XGBoost,Barcelos,0.1783,1.1034,0.8168,23.0545,1.0504,18.9607,0.8844,33.23
XGBoost,Barcelos,0.1239,1.2777,0.9166,25.4761,1.1303,21.0972,0.9674,38.29
