Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Benjamin Constant,0.06,1.0065,0.8089,20.0706,1.0032,18.3753,0.7442,0.09
Ridge,Benjamin Constant,0.0726,1.0831,0.8323,21.2193,1.0407,18.5861,0.7982,0.12
Ridge,Benjamin Constant,0.0881,1.0466,0.7996,22.3401,1.0231,18.6424,0.7647,0.22
Ridge,Benjamin Constant,0.0484,1.2066,0.8767,23.9853,1.0984,20.5138,0.8398,0.23
Ridge,Benjamin Constant,0.0509,1.4067,0.9881,27.6137,1.186,22.6211,0.9312,0.23
SVR,Benjamin Constant,0.0282,1.0405,0.8142,21.3099,1.02,18.4555,0.749,0.57
SVR,Benjamin Constant,0.0543,1.1045,0.8284,21.5751,1.051,18.4987,0.7945,1.64
SVR,Benjamin Constant,0.0256,1.1184,0.8154,23.3878,1.0575,18.9215,0.7798,2.8
SVR,Benjamin Constant,0.0362,1.2219,0.8681,24.3811,1.1054,20.3078,0.8316,4.31
SVR,Benjamin Constant,0.0602,1.3929,0.9368,28.3453,1.1802,21.4603,0.8829,5.37
Random Forest,Benjamin Constant,0.0537,1.0131,0.805,20.324,1.0066,18.2738,0.7406,13.46
Random Forest,Benjamin Constant,0.0609,1.0969,0.8433,21.3327,1.0473,18.8077,0.8088,30.73
Random Forest,Benjamin Constant,0.11,1.0216,0.7904,21.9596,1.0107,18.4635,0.7559,50.99
Random Forest,Benjamin Constant,0.0547,1.1986,0.8732,24.0593,1.0948,20.428,0.8365,73.3
Random Forest,Benjamin Constant,0.055,1.4006,0.9775,27.5158,1.1835,22.4063,0.9212,118.32
XGBoost,Benjamin Constant,-0.1818,1.2653,0.8953,21.3041,1.1249,20.3704,0.8237,11.07
XGBoost,Benjamin Constant,0.0708,1.0853,0.8459,21.25,1.0418,18.9142,0.8113,19.99
XGBoost,Benjamin Constant,0.108,1.0239,0.7796,21.8302,1.0119,18.2262,0.7455,26.91
XGBoost,Benjamin Constant,0.0513,1.2028,0.8704,23.921,1.0967,20.3893,0.8339,33.22
XGBoost,Benjamin Constant,0.0549,1.4008,0.9806,27.2621,1.1835,22.5026,0.9242,37.14
