Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Coari,-0.0583,1.3215,0.8928,24.1477,1.1496,19.8436,0.889,0.07
Ridge,Coari,0.0797,1.0146,0.8123,19.8371,1.0073,17.6265,0.7897,0.11
Ridge,Coari,0.083,0.9327,0.7512,19.1276,0.9658,16.5243,0.7208,0.2
Ridge,Coari,0.0446,1.1572,0.8553,23.0194,1.0757,19.4823,0.8346,0.22
Ridge,Coari,0.0389,1.3909,0.9158,27.9632,1.1793,20.8679,0.8619,0.21
SVR,Coari,-0.0915,1.363,0.9028,24.9089,1.1675,20.0263,0.899,0.49
SVR,Coari,0.045,1.0529,0.8019,20.5419,1.0261,17.3929,0.7797,1.16
SVR,Coari,0.0821,0.9336,0.7467,19.1778,0.9662,16.4339,0.7165,1.97
SVR,Coari,0.0312,1.1735,0.8535,23.3139,1.0833,19.4324,0.8329,2.74
SVR,Coari,-0.0379,1.5019,0.891,29.1638,1.2255,20.247,0.8385,3.96
Random Forest,Coari,0.033,1.2076,0.8659,23.1527,1.0989,19.415,0.8622,12.43
Random Forest,Coari,0.083,1.011,0.8088,19.8563,1.0055,17.5541,0.7863,32.22
Random Forest,Coari,0.0964,0.919,0.746,18.89,0.9587,16.4289,0.7157,53.71
Random Forest,Coari,0.0409,1.1617,0.8578,23.1279,1.0778,19.5387,0.8371,77.4
Random Forest,Coari,0.0229,1.414,0.9512,28.0385,1.1891,21.6376,0.8952,101.57
XGBoost,Coari,-0.1612,1.4501,0.9703,24.7396,1.2042,21.6303,0.9662,11.06
XGBoost,Coari,0.0621,1.0341,0.8189,20.1497,1.0169,17.7634,0.7962,19.57
XGBoost,Coari,0.0769,0.939,0.7542,19.0201,0.969,16.6247,0.7236,27.31
XGBoost,Coari,0.0298,1.1751,0.8579,23.226,1.084,19.5475,0.8372,33.93
XGBoost,Coari,-0.0349,1.4976,1.0028,28.2993,1.2238,22.8361,0.9438,36.84
