Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Codajas,0.0375,1.2057,0.8556,23.3681,1.098,19.3548,0.8518,0.07
Ridge,Codajas,0.0964,1.1525,0.8261,22.9764,1.0735,18.5859,0.8139,0.11
Ridge,Codajas,0.13,0.9375,0.7691,19.5222,0.9683,17.0446,0.7458,0.2
Ridge,Codajas,0.0311,1.2267,0.8673,24.8909,1.1076,20.1862,0.8532,0.2
Ridge,Codajas,0.0682,1.4451,0.9538,28.5751,1.2021,22.0747,0.915,0.21
SVR,Codajas,0.0475,1.1932,0.8401,23.4277,1.0923,19.0462,0.8363,0.54
SVR,Codajas,0.0287,1.2388,0.8353,24.0113,1.113,18.73,0.823,1.11
SVR,Codajas,0.0633,1.0093,0.7708,20.4641,1.0047,17.0298,0.7475,1.94
SVR,Codajas,0.0118,1.2512,0.8605,25.3633,1.1185,20.0231,0.8465,2.61
SVR,Codajas,0.0067,1.5404,0.9274,29.6674,1.2411,21.4424,0.8896,3.79
Random Forest,Codajas,0.0863,1.1445,0.8542,22.8222,1.0698,19.3687,0.8504,12.56
Random Forest,Codajas,0.0966,1.1522,0.8532,23.115,1.0734,19.1719,0.8406,31.63
Random Forest,Codajas,0.1356,0.9314,0.7675,19.2859,0.9651,17.0322,0.7442,68.43
Random Forest,Codajas,0.0486,1.2045,0.8613,24.6922,1.0975,20.0779,0.8473,97.98
Random Forest,Codajas,0.0598,1.458,0.9829,28.5634,1.2075,22.7058,0.9429,97.02
XGBoost,Codajas,-0.1531,1.4444,0.9739,24.5412,1.2018,22.1129,0.9696,11.05
XGBoost,Codajas,0.0018,1.2732,0.8925,23.9748,1.1283,19.998,0.8793,20.98
XGBoost,Codajas,0.1271,0.9405,0.7696,19.462,0.9698,17.073,0.7463,27.36
XGBoost,Codajas,0.0313,1.2264,0.8678,24.9016,1.1074,20.2017,0.8537,34.1
XGBoost,Codajas,0.0333,1.4992,1.0026,28.9016,1.2244,23.1526,0.9618,38.39
