Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Eirunepe,0.0252,0.9775,0.7938,19.7346,0.9887,18.0413,0.7919,0.08
Ridge,Eirunepe,0.078,1.1111,0.8284,22.7242,1.0541,18.9498,0.8535,0.11
Ridge,Eirunepe,0.1031,0.9874,0.7771,20.8153,0.9937,17.8515,0.7953,0.2
Ridge,Eirunepe,0.0628,1.1654,0.8429,24.4619,1.0795,19.9019,0.8546,0.21
Ridge,Eirunepe,0.0982,1.3003,0.8961,28.2185,1.1403,20.3384,0.8911,0.21
SVR,Eirunepe,0.0064,0.9963,0.8078,20.0411,0.9982,18.3483,0.8059,0.54
SVR,Eirunepe,0.0268,1.1728,0.828,23.6188,1.083,18.8977,0.853,1.13
SVR,Eirunepe,0.0916,1.0,0.7674,20.9293,1.0,17.6535,0.7854,2.31
SVR,Eirunepe,0.057,1.1726,0.8246,24.5754,1.0829,19.5062,0.8361,2.78
SVR,Eirunepe,0.0662,1.3465,0.8692,29.1358,1.1604,19.7394,0.8644,4.06
Random Forest,Eirunepe,0.0853,0.9172,0.7582,19.5126,0.9577,17.2416,0.7564,12.35
Random Forest,Eirunepe,0.0755,1.1142,0.8372,22.6222,1.0555,19.1495,0.8625,32.28
Random Forest,Eirunepe,0.1323,0.9552,0.7648,20.4861,0.9773,17.603,0.7827,54.06
Random Forest,Eirunepe,0.078,1.1465,0.8257,24.243,1.0707,19.5099,0.8372,76.47
Random Forest,Eirunepe,0.0454,1.3765,0.9462,27.864,1.1732,21.4624,0.9409,99.43
XGBoost,Eirunepe,-0.0768,1.0797,0.8415,20.9336,1.0391,19.106,0.8395,12.31
XGBoost,Eirunepe,0.0021,1.2026,0.8702,23.1723,1.0966,19.8391,0.8965,25.65
XGBoost,Eirunepe,0.1272,0.9608,0.7685,20.4357,0.9802,17.7039,0.7865,27.85
XGBoost,Eirunepe,0.0629,1.1653,0.8234,24.3499,1.0795,19.4641,0.8348,33.57
XGBoost,Eirunepe,-0.0016,1.4442,0.9802,27.8707,1.2018,22.2604,0.9747,38.11
