Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Iaurete,-0.0045,1.28,0.924,24.8887,1.1314,21.8233,0.7611,0.08
Ridge,Iaurete,0.0023,1.2584,0.8959,24.1862,1.1218,20.7763,0.7466,0.11
Ridge,Iaurete,0.059,1.1433,0.8514,24.0546,1.0692,20.1537,0.7202,0.2
Ridge,Iaurete,0.0291,1.1393,0.847,23.5268,1.0674,20.1435,0.7235,0.28
Ridge,Iaurete,0.0296,1.6304,1.0158,32.5663,1.2769,24.2702,0.8693,0.22
SVR,Iaurete,-0.006,1.282,0.9055,25.4753,1.1322,21.3766,0.7458,0.73
SVR,Iaurete,-0.0102,1.2741,0.8765,24.8024,1.1287,20.2975,0.7304,1.39
SVR,Iaurete,0.0197,1.191,0.8572,24.9305,1.0913,20.2468,0.7251,2.17
SVR,Iaurete,0.0264,1.1425,0.8413,23.7933,1.0689,20.0132,0.7187,3.44
SVR,Iaurete,-0.027,1.7254,1.0096,34.2183,1.3136,24.0215,0.864,4.16
Random Forest,Iaurete,-0.0021,1.277,0.9195,25.0538,1.13,21.7179,0.7574,12.1
Random Forest,Iaurete,0.0021,1.2586,0.8972,24.0821,1.1219,20.8136,0.7477,32.28
Random Forest,Iaurete,0.0643,1.1369,0.8508,23.9262,1.0662,20.1558,0.7197,54.37
Random Forest,Iaurete,0.0314,1.1366,0.846,23.5036,1.0661,20.1259,0.7227,76.44
Random Forest,Iaurete,0.0333,1.6241,1.0207,32.4533,1.2744,24.3919,0.8736,101.79
XGBoost,Iaurete,-0.126,1.435,0.9892,25.8619,1.1979,23.4726,0.8148,13.49
XGBoost,Iaurete,-0.099,1.3861,0.9476,24.733,1.1773,22.0243,0.7897,20.95
XGBoost,Iaurete,0.0513,1.1526,0.8479,23.8757,1.0736,20.0986,0.7172,27.02
XGBoost,Iaurete,0.0177,1.1527,0.8534,23.4324,1.0736,20.3161,0.729,32.74
XGBoost,Iaurete,0.0347,1.6217,1.006,32.726,1.2735,24.0436,0.861,37.05
