Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Labrea,0.0907,1.092,0.8117,22.4188,1.045,18.2972,0.8854,0.09
Ridge,Labrea,0.1327,0.9892,0.7738,20.1852,0.9946,17.2202,0.7893,0.11
Ridge,Labrea,0.1514,0.8018,0.6886,17.6058,0.8954,15.2276,0.7173,0.2
Ridge,Labrea,0.0979,1.0485,0.7885,22.0316,1.024,18.1716,0.8375,0.21
Ridge,Labrea,0.0893,1.2487,0.8361,26.6101,1.1175,19.0115,0.8665,0.21
SVR,Labrea,0.0356,1.1582,0.8325,22.906,1.0762,18.6513,0.9082,0.48
SVR,Labrea,0.0726,1.0578,0.7647,20.954,1.0285,16.9913,0.7801,1.17
SVR,Labrea,0.0978,0.8525,0.6782,18.1155,0.9233,14.9923,0.7065,2.0
SVR,Labrea,0.0708,1.08,0.7802,22.5036,1.0393,17.9944,0.8286,2.62
SVR,Labrea,0.0779,1.2644,0.8165,26.8629,1.1245,18.5825,0.8461,3.96
Random Forest,Labrea,0.1276,1.0476,0.8153,21.7774,1.0235,18.3994,0.8893,12.44
Random Forest,Labrea,0.1425,0.9779,0.7806,20.2235,0.9889,17.3636,0.7963,32.26
Random Forest,Labrea,0.1683,0.7858,0.6795,17.3114,0.8865,15.0737,0.7078,53.36
Random Forest,Labrea,0.1001,1.046,0.7895,21.9073,1.0227,18.1977,0.8385,74.92
Random Forest,Labrea,0.0318,1.3276,0.8975,26.807,1.1522,20.323,0.9302,98.31
XGBoost,Labrea,-0.222,1.4675,0.9776,23.748,1.2114,21.99,1.0664,10.82
XGBoost,Labrea,0.0349,1.1007,0.8486,21.1938,1.0491,18.8141,0.8657,20.94
XGBoost,Labrea,0.1473,0.8057,0.6872,17.3842,0.8976,15.2798,0.7158,28.35
XGBoost,Labrea,0.0839,1.0648,0.8041,22.1918,1.0319,18.5171,0.854,33.99
XGBoost,Labrea,-0.1657,1.5984,1.0335,28.2939,1.2643,23.4731,1.071,40.35
