Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Manaus,0.096,1.3508,0.9082,27.4406,1.1622,21.3538,0.8704,0.08
Ridge,Manaus,0.1214,1.2731,0.9023,25.8431,1.1283,20.8868,0.8443,0.11
Ridge,Manaus,0.1725,1.0304,0.8265,20.7774,1.0151,18.5355,0.7609,0.2
Ridge,Manaus,0.0545,1.2355,0.8878,24.511,1.1116,20.5846,0.8373,0.22
Ridge,Manaus,0.0478,1.6917,0.9795,35.155,1.3007,23.2436,0.9059,0.21
SVR,Manaus,0.0411,1.4328,0.9292,28.6328,1.197,21.676,0.8905,0.49
SVR,Manaus,0.0694,1.3484,0.8834,26.8474,1.1612,20.4283,0.8266,0.99
SVR,Manaus,0.1697,1.0339,0.8081,20.9937,1.0168,18.1747,0.744,2.15
SVR,Manaus,0.0264,1.2723,0.8833,25.054,1.128,20.4599,0.8331,3.0
SVR,Manaus,0.0206,1.74,0.9696,35.7042,1.3191,23.0056,0.8969,4.1
Random Forest,Manaus,0.102,1.3418,0.923,27.3732,1.1583,21.6087,0.8845,12.52
Random Forest,Manaus,0.126,1.2664,0.9017,25.8224,1.1254,20.8859,0.8437,32.58
Random Forest,Manaus,0.1467,1.0626,0.8439,20.7962,1.0308,18.9339,0.7769,65.83
Random Forest,Manaus,0.0893,1.1901,0.882,23.837,1.0909,20.4777,0.8318,100.15
Random Forest,Manaus,0.0673,1.6571,1.0482,33.5777,1.2873,24.842,0.9695,132.7
XGBoost,Manaus,-0.0494,1.568,0.989,28.9453,1.2522,22.998,0.9478,15.19
XGBoost,Manaus,0.0985,1.3063,0.8966,25.7009,1.1429,20.8742,0.8389,23.24
XGBoost,Manaus,0.0922,1.1304,0.8711,21.3365,1.0632,19.523,0.8019,28.97
XGBoost,Manaus,0.0713,1.2136,0.8815,24.035,1.1016,20.4712,0.8314,35.16
XGBoost,Manaus,0.0783,1.6375,1.0258,33.7652,1.2796,24.3188,0.9488,40.3
