Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Manicore,-0.0281,1.1034,0.8251,20.5317,1.0504,18.0011,0.8472,0.1
Ridge,Manicore,0.1495,1.01,0.7814,20.5078,1.005,17.392,0.8195,0.12
Ridge,Manicore,0.1084,0.9469,0.755,19.4635,0.9731,16.5158,0.7813,0.23
Ridge,Manicore,0.0787,0.9987,0.7858,20.3974,0.9993,17.7137,0.8189,0.23
Ridge,Manicore,0.0469,1.35,0.888,27.6789,1.1619,20.411,0.9075,0.23
SVR,Manicore,-0.1203,1.2023,0.9007,20.5005,1.0965,19.7551,0.9248,0.6
SVR,Manicore,0.1077,1.0597,0.7645,20.9189,1.0294,17.0241,0.8018,1.24
SVR,Manicore,0.0935,0.9627,0.7342,19.682,0.9812,16.0881,0.7598,2.18
SVR,Manicore,0.0627,1.016,0.7713,20.7314,1.0079,17.4034,0.8038,3.06
SVR,Manicore,-0.0633,1.506,0.8573,29.0509,1.2272,19.6481,0.8761,4.79
Random Forest,Manicore,0.0786,0.9889,0.7961,19.7488,0.9944,17.4685,0.8175,12.63
Random Forest,Manicore,0.1501,1.0093,0.7919,20.5424,1.0046,17.5956,0.8305,33.69
Random Forest,Manicore,0.098,0.958,0.7531,19.4438,0.9788,16.4911,0.7794,54.2
Random Forest,Manicore,0.0817,0.9955,0.7785,20.2433,0.9977,17.5891,0.8113,105.25
Random Forest,Manicore,0.0748,1.3104,0.8936,27.2228,1.1447,20.5608,0.9131,103.69
XGBoost,Manicore,-0.1895,1.2765,0.9055,21.7524,1.1298,19.8385,0.9298,10.82
XGBoost,Manicore,0.123,1.0415,0.8049,20.9175,1.0205,17.8868,0.8442,19.92
XGBoost,Manicore,0.1055,0.95,0.7413,19.3003,0.9747,16.2845,0.7671,27.13
XGBoost,Manicore,0.0918,0.9845,0.775,20.1803,0.9922,17.5168,0.8077,32.53
XGBoost,Manicore,0.062,1.3286,0.9087,27.1596,1.1527,20.9242,0.9286,36.61
