Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Parintins,0.1776,1.0194,0.7622,20.6792,1.0097,16.9076,0.8137,0.15
Ridge,Parintins,0.2616,0.9164,0.7456,18.7588,0.9573,16.2219,0.8307,0.11
Ridge,Parintins,0.3096,0.922,0.7262,19.2957,0.9602,16.2745,0.8187,0.21
Ridge,Parintins,0.2442,0.9811,0.7677,20.5391,0.9905,17.4567,0.8671,0.21
Ridge,Parintins,0.1664,1.353,0.8453,28.335,1.1632,19.6289,0.9374,0.21
SVR,Parintins,0.2163,0.9714,0.7766,19.932,0.9856,17.2947,0.829,0.49
SVR,Parintins,0.2702,0.9058,0.6926,18.3844,0.9517,15.2175,0.7717,1.39
SVR,Parintins,0.2929,0.9442,0.7116,19.5757,0.9717,16.0152,0.8023,2.18
SVR,Parintins,0.2367,0.9908,0.7436,20.9252,0.9954,16.9075,0.8398,3.04
SVR,Parintins,0.1299,1.4124,0.8504,29.1864,1.1884,19.6584,0.9431,4.37
Random Forest,Parintins,0.2564,0.9217,0.7285,19.719,0.9601,16.2739,0.7777,12.07
Random Forest,Parintins,0.3047,0.863,0.7138,17.943,0.929,15.6589,0.7953,35.36
Random Forest,Parintins,0.3555,0.8606,0.6969,18.5063,0.9277,15.7226,0.7856,65.95
Random Forest,Parintins,0.228,1.0021,0.7791,20.7175,1.001,17.7272,0.88,97.02
Random Forest,Parintins,0.2256,1.257,0.8632,27.1151,1.1211,20.0077,0.9572,127.87
XGBoost,Parintins,0.151,1.0524,0.8113,20.7431,1.0258,17.9133,0.8661,11.89
XGBoost,Parintins,0.1956,0.9984,0.7845,19.2593,0.9992,17.1388,0.874,24.34
XGBoost,Parintins,0.3667,0.8456,0.6958,18.3322,0.9196,15.6911,0.7844,30.46
XGBoost,Parintins,0.2285,1.0015,0.7855,20.8686,1.0007,17.8668,0.8871,37.12
XGBoost,Parintins,0.2106,1.2813,0.8771,27.1821,1.132,20.2822,0.9727,42.82
