Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,S.G.Cachoeira,0.0261,1.1601,0.8637,23.2291,1.0771,19.8431,0.7742,0.1
Ridge,S.G.Cachoeira,0.0299,1.2015,0.8866,23.719,1.0961,20.1718,0.7924,0.12
Ridge,S.G.Cachoeira,0.0676,1.261,0.8801,25.6772,1.1229,20.6128,0.7796,0.23
Ridge,S.G.Cachoeira,0.0327,1.1558,0.8608,23.512,1.0751,20.0096,0.7592,0.23
Ridge,S.G.Cachoeira,0.0122,1.5909,1.0168,34.4712,1.2613,24.4932,0.8903,0.24
SVR,S.G.Cachoeira,-0.0013,1.1927,0.8546,23.9827,1.0921,19.6068,0.7661,0.66
SVR,S.G.Cachoeira,-0.0404,1.2886,0.8989,24.774,1.1352,20.3811,0.8033,1.66
SVR,S.G.Cachoeira,0.055,1.2781,0.8727,25.9397,1.1305,20.4313,0.7731,2.63
SVR,S.G.Cachoeira,0.0368,1.1509,0.8475,23.6092,1.0728,19.7217,0.7474,3.84
SVR,S.G.Cachoeira,-0.0461,1.6847,0.9847,36.2344,1.298,23.6303,0.8622,5.51
Random Forest,S.G.Cachoeira,0.023,1.1638,0.8751,22.8113,1.0788,20.1286,0.7844,14.0
Random Forest,S.G.Cachoeira,0.0082,1.2283,0.8952,23.7017,1.1083,20.3715,0.8,42.63
Random Forest,S.G.Cachoeira,0.0624,1.268,0.8844,25.7886,1.1261,20.6983,0.7835,57.18
Random Forest,S.G.Cachoeira,0.0464,1.1394,0.8483,23.3704,1.0674,19.7321,0.7482,77.71
Random Forest,S.G.Cachoeira,0.0213,1.5761,1.003,34.652,1.2554,24.1596,0.8783,103.92
XGBoost,S.G.Cachoeira,-0.1558,1.3768,0.9513,23.7451,1.1734,21.9949,0.8528,13.06
XGBoost,S.G.Cachoeira,0.004,1.2335,0.9017,23.4666,1.1107,20.5371,0.8059,21.05
XGBoost,S.G.Cachoeira,0.0527,1.2812,0.8816,25.9582,1.1319,20.6279,0.781,27.37
XGBoost,S.G.Cachoeira,0.0233,1.167,0.8601,23.575,1.0803,20.0091,0.7586,32.7
XGBoost,S.G.Cachoeira,0.027,1.567,0.9941,34.4743,1.2518,23.9821,0.8705,37.1
