Model,Station,R2,MSE,MAE,MAPE,RMSE,sMAPE(%),MASE,Time(s)
Ridge,Tefe,-0.1434,1.4864,0.9417,26.7956,1.2192,20.9211,0.8728,0.09
Ridge,Tefe,0.0732,0.9573,0.7846,19.7217,0.9784,17.2727,0.7119,0.11
Ridge,Tefe,0.0804,1.0052,0.7861,20.5156,1.0026,17.5721,0.7447,0.22
Ridge,Tefe,0.0535,1.2613,0.8745,25.3191,1.1231,20.2816,0.8372,0.22
Ridge,Tefe,0.0581,1.444,0.9429,29.1613,1.2017,21.7814,0.8736,0.22
SVR,Tefe,-0.2252,1.5929,0.9563,27.8872,1.2621,21.096,0.8864,0.69
SVR,Tefe,-0.02,1.0535,0.806,20.8768,1.0264,17.6486,0.7313,1.44
SVR,Tefe,0.053,1.0352,0.7706,20.899,1.0175,17.2407,0.7301,2.28
SVR,Tefe,0.0059,1.3247,0.8789,26.2399,1.1509,20.3297,0.8414,3.12
SVR,Tefe,-0.0153,1.5564,0.9238,30.5174,1.2476,21.2641,0.8559,4.35
Random Forest,Tefe,0.0151,1.2804,0.8914,25.0645,1.1315,20.0513,0.8262,12.63
Random Forest,Tefe,0.0638,0.967,0.7912,19.7013,0.9833,17.4192,0.7178,32.18
Random Forest,Tefe,0.0844,1.0009,0.7853,20.5067,1.0005,17.546,0.7439,54.32
Random Forest,Tefe,0.06,1.2527,0.8766,25.261,1.1192,20.3179,0.8393,78.36
Random Forest,Tefe,0.065,1.4334,0.9568,28.7862,1.1972,22.1266,0.8865,103.53
XGBoost,Tefe,-0.1625,1.5113,0.9691,26.6519,1.2294,21.7635,0.8982,11.84
XGBoost,Tefe,-0.1,1.1361,0.8539,20.9232,1.0659,18.6799,0.7747,21.07
XGBoost,Tefe,0.0693,1.0174,0.7862,20.5616,1.0087,17.5858,0.7448,26.52
XGBoost,Tefe,0.0501,1.2658,0.8822,25.4289,1.1251,20.452,0.8446,32.1
XGBoost,Tefe,0.047,1.4609,0.9753,28.817,1.2087,22.5769,0.9036,36.4
